Table 1.  Summary of Basal Crop Coefficient Curves used for the Idaho Evapotranspiration Calculations (Grass reference basis computed by multiplying Kcr from next page by 1.2 for the standard climate)																																																													
60	curves	Normalized Cumulative Growing Degree-Day from Planting to Effective Full Cover																			Kcb as a function of Percent Time from Planting or Greenup to Effective Full Cover																	Kcb as a function of percent time from greenup to end of season																							
Curve no.:		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60
Curve type: '1=NCGDD: 2=%PL-EC: 3=%PL-EC+daysafter: 4=%PL-Term		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	4	4	4	4	2	2	1	1	3	3	3	1	1	1	1	1	1	1	3	1	2	1	1	3
Percent PL-EC or PL-TM (type 1-2-4)	Percent PL-EC+ days after (type 3)	Spring wheat	Winter Wheat	"Peas, seed"	"Peas, fresh"	Sugar Beets	Potatoes (baking)	Potatoes-processing	Field Corn	Sileage Corn	Sweet Corn	Snap Beans-dry	Snap Beans-fresh	Alfalfa 1st cycle	Alfalfa Int cycle	Alfalfa Last cycle	"Alfalfa, peak"	Lentils	Mint	Grass Hay	Onions	Winegrapes	Melons	Hops	Apples w/GC	Apples no GC	Garlic	Canola	Sunflower/Safflower	Lawn	Pasture Rotated	Pasture Low Manag.	BlueGrass Seed	Alfalfa Seed	Poplar	Wetlands-Large stand	Wetlands-Small Stand	Sagebrush	Cheatgrass	Bunchgrass	Bromegrass	Cottonwood	Willow	Cotton	Peppers	Sorghum	Nuts	Olives	Strawberries	Blueberries	Raspberries	Rice	Soybeans	Millet	Tomatoes	Oranges	Lettuce	Cranberries	Sugarcane	Cabbage	Christmas Trees
-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------
0	0	0.18	0.14	0.14	0.14	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.3	0.3	0.3	0.42	0.18	0.42	0.24	0.18	0.19	0.18	0.12	0.18	0.18	0.18	0.18	0.18	0.18	0.35	0.26	0.18	0.42	0.12	0.24	0.24	0.18	0.06	0.06	0.06	0.18	0.18	0.15	0.15	0.2	0.2	0.55	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.85	0.2	0.2	0.15	0.2	0.95
10	10	0.18	0.14	0.17	0.17	0.18	0.18	0.18	0.18	0.18	0.18	0.19	0.19	0.61	0.4	0.35	0.61	0.18	0.61	0.55	0.18	0.22	0.18	0.12	0.24	0.18	0.18	0.18	0.18	0.3	0.42	0.31	0.24	0.6	0.23	0.32	0.4	0.36	0.36	0.24	0.48	0.24	0.18	0.15	0.15	0.2	0.2	0.56	0.18	0.18	0.18	0.18	0.19	0.18	0.18	0.85	0.2	0.2	0.18	0.2	0.95
20	20	0.24	0.18	0.18	0.18	0.19	0.18	0.18	0.18	0.18	0.18	0.23	0.23	0.88	0.54	0.46	0.88	0.22	0.88	0.82	0.18	0.26	0.2	0.12	0.29	0.22	0.18	0.18	0.18	0.46	0.5	0.38	0.3	0.72	0.32	0.43	0.54	0.42	0.72	0.54	0.84	0.29	0.22	0.15	0.17	0.2	0.2	0.57	0.18	0.18	0.18	0.24	0.23	0.24	0.18	0.85	0.25	0.2	0.18	0.25	0.95
30	30	0.34	0.24	0.19	0.19	0.2	0.2	0.2	0.2	0.2	0.2	0.28	0.28	1.01	0.96	0.67	1.01	0.3	1.01	0.95	0.29	0.31	0.24	0.14	0.4	0.3	0.29	0.23	0.23	0.58	0.6	0.46	0.43	0.8	0.43	0.54	0.72	0.42	0.72	0.66	0.96	0.4	0.3	0.15	0.2	0.23	0.23	0.58	0.2	0.2	0.2	0.34	0.28	0.34	0.2	0.85	0.4	0.3	0.2	0.4	0.95
40	40	0.48	0.32	0.24	0.24	0.22	0.28	0.28	0.23	0.23	0.23	0.46	0.46	1.08	1.12	0.95	1.08	0.43	1.08	1.02	0.4	0.44	0.29	0.16	0.53	0.42	0.4	0.35	0.35	0.71	0.71	0.53	0.55	0.88	0.53	0.66	0.89	0.42	0.6	0.66	0.96	0.53	0.42	0.18	0.25	0.3	0.3	0.59	0.28	0.28	0.28	0.48	0.46	0.48	0.28	0.85	0.57	0.4	0.23	0.57	0.95
50	50	0.6	0.48	0.38	0.38	0.25	0.42	0.42	0.34	0.34	0.34	0.59	0.59	1.18	1.19	1.09	1.18	0.54	1.18	1.12	0.49	0.67	0.37	0.38	0.66	0.53	0.49	0.79	0.67	0.78	0.84	0.64	0.67	0.95	0.64	0.77	1.04	0.4	0.18	0.66	0.92	0.66	0.53	0.22	0.4	0.4	0.4	0.6	0.42	0.42	0.42	0.6	0.59	0.6	0.42	0.85	0.7	0.5	0.34	0.7	0.95
60	60	0.71	0.86	0.55	0.55	0.48	0.58	0.58	0.5	0.5	0.5	0.72	0.72	1.2	1.2	1.15	1.2	0.64	1.2	1.14	0.62	0.78	0.53	0.66	0.79	0.68	0.62	1.02	0.9	0.84	0.89	0.66	0.77	0.98	0.73	0.88	1.2	0.37	0.12	0.54	0.84	0.79	0.68	0.34	0.6	0.57	0.57	0.61	0.58	0.58	0.58	0.71	0.72	0.71	0.58	0.85	0.8	0.6	0.5	0.8	0.95
70	70	0.98	1.12	0.76	0.76	0.68	0.74	0.74	0.65	0.65	0.65	0.89	0.89	1.2	1.19	1.2	1.2	0.89	1.2	1.14	0.74	0.78	0.67	0.83	0.92	0.79	0.74	1.14	1.02	0.84	0.92	0.7	0.84	1	0.84	0.98	1.4	0.36	0.1	0.36	0.66	0.92	0.79	0.48	0.75	0.77	0.75	0.62	0.74	0.74	0.74	0.98	0.89	0.98	0.74	0.85	0.88	0.7	0.65	0.88	0.95
80	80	1.14	1.19	0.92	0.92	0.88	0.83	0.83	0.88	0.88	0.88	1.03	1.03	1.19	1.16	1.19	1.2	1.03	1.19	1.13	0.85	0.78	0.78	0.95	1.01	0.86	0.85	1.16	1.04	0.84	0.96	0.72	0.9	1.01	0.94	1.1	1.57	0.36	0.06	0.18	0.42	0.96	0.86	0.7	0.86	0.96	0.92	0.63	0.8	0.8	0.8	1.14	1.03	1.14	0.83	0.85	0.95	0.8	0.88	0.95	0.95
90	90	1.19	1.24	1.02	1.02	1.06	0.89	0.89	1.03	1.03	1.03	1.13	1.13	1.16	1.15	1.15	1.2	1.07	1.16	1.1	0.9	0.78	0.78	1.04	1.04	0.9	0.9	1.16	1.04	0.84	0.96	0.72	0.94	1.01	1.04	1.19	1.69	0.34	0.06	0.06	0.24	1	0.9	0.95	0.92	1.09	0.98	0.64	0.8	0.9	0.9	1.15	1.13	1.19	0.89	0.85	0.98	0.9	1.03	0.98	0.95
100	100	1.24	1.24	1.1	1.1	1.24	0.92	0.92	1.15	1.15	1.15	1.14	1.14	1.15	1.13	1.13	1.2	1.12	1.15	1.09	0.9	0.78	0.78	1.15	1.08	0.9	0.9	1.16	1.04	0.84	0.96	0.72	0.96	1.02	1.14	1.26	1.8	0.18	0.06	0.06	0.06	1.02	0.9	1.11	0.98	1.12	1	0.65	0.8	1	1	1.15	1.14	1.24	0.92	0.85	1	1	1.2	1	0.95
110	0	1.24	1.24	1.1	1.1	1.24	0.92	0.92	1.15	1.15	1.15	1.14	1.14				1.2	1.12	0.3	0.6	0.9	0.78	0.78	1.2	1.08	0.9	0.9	1.16	1.04	0.84	0.96	0.72	0.96	1.02	1.14	1.26	1.8				0	1.02	0.9	1.13	1.02	1.12	1	0.65	0.8	1	1	1.15	1.14	1.24	0.92	0.85	1	1	1.15	1	0.95
120	10	1.24	1.24	1.1	1.1	1.24	0.92	0.91	1.15	1.15	1.14	1.14	1.14				1.2	1.12	0.4	0.66	0.9	0.78	0.78	1.2	1.08	0.9	0.9	1.16	1.04	0.84	0.96	0.72	0.96	1.02	1.2	1.26	1.8				0	1.02	0.9	1.13	1.05	1.12	1	0.65	0.8	1	1	1.15	1.14	1.24	0.91	0.85	1	1	1.1	1	0.95
