Table 1.  Summary of Basal Crop Coefficient Curves used for the Idaho Evapotranspiration Calculations																																																														
60	curves	Normalized Cumulative Growing Degree-Day from Planting to Effective Full Cover																			Kcb as a function of Percent Time from Planting or Greenup to Effective Full Cover																	Kcb as a function of percent time from greenup to end of season																								
Curve no.:		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61
Curve type: '1=NCGDD: 2=%PL-EC: 3=%PL-EC+daysafter: 4=%PL-Term		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	4	4	4	4	2	2	1	1	3	3	3	1	1	1	1	1	1	1	3	1	2	1	1	3	3
Percent PL-EC or PL-TM (type 1-2-4)	Percent PL-EC+ days after (type 3)	Spring wheat	Winter Wheat	"Peas, seed"	"Peas, fresh"	Sugar Beets	Potatoes (baking)	Potatoes-processing	Field Corn	Sileage Corn	Sweet Corn	Snap Beans-dry	Snap Beans-fresh	Alfalfa 1st cycle	Alfalfa Int cycle	Alfalfa Last cycle	"Alfalfa, peak"	Lentils	Mint	Grass Hay	Onions	Winegrapes	Melons	Hops	Apples w/GC	Apples no GC	Garlic	Canola	Sunflower/Safflower	Lawn	Pasture Rotated	Pasture Low Manag.	BlueGrass Seed	Alfalfa Seed	Poplar	Wetlands-Large stand	Wetlands-Small Stand	Sagebrush	Cheatgrass	Bunchgrass	Bromegrass	Cottonwood	Willow	Cotton	Peppers	Sorghum	Nuts	Olives	Strawberries	Blueberries	Raspberries	Rice	Soybeans	Millet	Tomatoes	Oranges	Lettuce	Cranberries	Sugarcane	Cabbage	Christmas Trees	Pasture Mid Manag.
-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------
0	0	0.15	0.116666667	0.116666667	0.116666667	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.25	0.25	0.25	0.35	0.15	0.35	0.2	0.15	0.158333333	0.15	0.1	0.15	0.15	0.15	0.15	0.15	0.15	0.291666667	0.216666667	0.15	0.35	0.1	0.2	0.2	0.15	0.5	0.5	0.5	0.15	0.15	0.125	0.125	0.166666667	0.166666667	0.458333333	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.783333333	0.166666667	0.166666667	0.125	0.166666667	0.791666667	0.246212122
10	10	0.15	0.116666667	0.141666667	0.141666667	0.15	0.15	0.15	0.15	0.15	0.15	0.158333333	0.158333333	0.583333333	0.333333333	0.291666667	0.583333333	0.15	0.583333333	0.458333333	0.15	0.183333333	0.15	0.1	0.2	0.15	0.15	0.15	0.15	0.25	0.35	0.258333333	0.2	0.5	0.191666667	0.266666667	0.333333333	0.3	0.3	0.2	0.4	0.2	0.15	0.125	0.125	0.166666667	0.166666667	0.466666667	0.15	0.15	0.15	0.15	0.158333333	0.15	0.15	0.783333333	0.166666667	0.166666667	0.15	0.166666667	0.791666667	0.293560606
20	20	0.2	0.15	0.15	0.15	0.158333333	0.15	0.15	0.15	0.15	0.15	0.191666667	0.191666667	0.733333333	0.45	0.383333333	0.733333333	0.183333333	0.733333333	0.683333333	0.15	0.216666667	0.166666667	0.1	0.241666667	0.183333333	0.15	0.15	0.15	0.383333333	0.416666667	0.316666667	0.25	0.6	0.266666667	0.358333333	0.45	0.35	0.6	0.45	0.7	0.241666667	0.183333333	0.125	0.141666667	0.166666667	0.166666667	0.475	0.15	0.15	0.15	0.2	0.191666667	0.2	0.15	0.783333333	0.283333333	0.166666667	0.15	0.283333333	0.791666667	0.359848485
30	30	0.283333333	0.2	0.158333333	0.158333333	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.233333333	0.233333333	0.841666667	0.8	0.558333333	0.841666667	0.25	0.841666667	0.791666667	0.241666667	0.258333333	0.2	0.116666667	0.333333333	0.25	0.241666667	0.191666667	0.191666667	0.483333333	0.5	0.383333333	0.358333333	0.666666667	0.358333333	0.45	0.6	0.35	0.6	0.55	0.8	0.333333333	0.25	0.125	0.166666667	0.191666667	0.191666667	0.483333333	0.166666667	0.166666667	0.166666667	0.283333333	0.233333333	0.283333333	0.166666667	0.783333333	0.333333333	0.25	0.166666667	0.333333333	0.791666667	0.43560606
40	40	0.4	0.266666667	0.2	0.2	0.183333333	0.233333333	0.233333333	0.191666667	0.191666667	0.191666667	0.383333333	0.383333333	0.9	0.933333333	0.791666667	0.9	0.358333333	0.9	0.85	0.333333333	0.366666667	0.241666667	0.133333333	0.441666667	0.35	0.333333333	0.291666667	0.291666667	0.591666667	0.591666667	0.441666667	0.458333333	0.733333333	0.441666667	0.55	0.741666667	0.35	0.5	0.55	0.8	0.441666667	0.35	0.15	0.283333333	0.25	0.25	0.491666667	0.233333333	0.233333333	0.233333333	0.4	0.383333333	0.4	0.233333333	0.783333333	0.475	0.333333333	0.191666667	0.475	0.791666667	0.50189394
50	50	0.5	0.4	0.316666667	0.316666667	0.283333333	0.35	0.35	0.283333333	0.283333333	0.283333333	0.491666667	0.491666667	0.983333333	0.991666667	0.983333333	0.983333333	0.45	0.983333333	0.933333333	0.483333333	0.558333333	0.383333333	0.316666667	0.55	0.441666667	0.483333333	0.658333333	0.558333333	0.65	0.7	0.533333333	0.558333333	0.791666667	0.533333333	0.641666667	0.866666667	0.333333333	0.15	0.55	0.766666667	0.55	0.441666667	0.183333333	0.333333333	0.333333333	0.333333333	0.5	0.35	0.35	0.35	0.5	0.491666667	0.5	0.35	0.783333333	0.583333333	0.416666667	0.283333333	0.583333333	0.791666667	0.606060606
60	60	0.591666667	0.716666667	0.458333333	0.458333333	0.4	0.483333333	0.483333333	0.416666667	0.416666667	0.416666667	0.6	0.6	1	1	0.958333333	1	0.533333333	1	0.95	0.516666667	0.65	0.441666667	0.55	0.658333333	0.566666667	0.516666667	0.85	0.75	0.7	0.741666667	0.55	0.641666667	0.816666667	0.683333333	0.733333333	1	0.383333333	0.1	0.45	0.7	0.658333333	0.566666667	0.283333333	0.5	0.475	0.475	0.583333333	0.483333333	0.483333333	0.483333333	0.591666667	0.6	0.591666667	0.483333333	0.783333333	0.666666667	0.5	0.416666667	0.666666667	0.791666667	0.625
