Month,Day,Year,TmaxC,TminC,TdewC,Rs_MJ_m2
3,1,1997,12.25,4.94,4.1,12.93
3,2,1997,11.36,0.61,-4.14,10.81
3,3,1997,22.2,-1.65,-2.12,21.09
3,4,1997,12.71,4.08,2.49,20.45
3,5,1997,12.21,-0.72,-5.94,21.42
3,6,1997,16.7,-2.44,-5.2,21.53
3,7,1997,19.86,6.21,4.45,17.02
3,8,1997,16.25,6.8,11.03,3.18
3,9,1997,17.47,5.02,3.18,17.46
3,10,1997,20.21,0.73,-0.18,22.04
3,11,1997,26.7,4.79,5.02,19.66
3,12,1997,22.35,9,10.54,17.4
3,13,1997,15.13,4.91,6.45,5.91
3,14,1997,5.8,-1.88,-9.01,20.02
3,15,1997,10.24,-3.05,-10.3,22.54
3,16,1997,12.16,2.06,0.9,8.05
3,17,1997,23.12,9.03,11.73,14.62
3,18,1997,17.11,5.38,5.65,9.71
3,19,1997,15.9,3.22,3.3,18.68
3,20,1997,28.45,2.22,-0.15,23.07
3,21,1997,32.62,6.87,3.59,23.38
3,22,1997,18.69,5.63,-2.59,23.89
3,23,1997,22.71,1.98,0.44,22.12
3,24,1997,24.16,11.56,10.97,13.65
3,25,1997,15.09,3.31,-2.58,24.13
3,26,1997,19.77,-1.37,-4.94,24.62
3,27,1997,25.18,9.52,0.26,18
3,28,1997,22.06,8.51,-1.37,24.74
3,29,1997,27.52,3.86,2.84,24.08
3,30,1997,17.55,4.44,-0.93,25.85
3,31,1997,19.5,-0.1,-3.96,21.61
4,1,1997,17.46,9.22,5.92,8.79
4,2,1997,18.63,14.04,12.43,5.21
4,3,1997,19.06,13.09,12.4,6.74
4,4,1997,17.82,12.78,12.85,3.43
4,5,1997,21.95,8.88,5.48,25.03
4,6,1997,14.3,3.62,-0.95,26.09
4,7,1997,19.01,3.37,0.32,21.82
4,8,1997,11.71,0.97,2.77,2.4
4,9,1997,10.41,0.92,3.67,7.83
4,10,1997,17.63,4.24,8.55,4.62
4,11,1997,7.89,-1.41,0.26,6.33
4,12,1997,6.06,-3.79,-5.92,27.11
4,13,1997,11.64,-3.07,-6.19,27.75
4,14,1997,17.1,-0.61,-0.38,27.7
4,15,1997,22.05,4.82,4.04,27.17
4,16,1997,17.12,9.31,8.06,19.58
4,17,1997,21.89,4.68,4.88,27.01
4,18,1997,25,9.83,6.19,22.81
4,19,1997,26.34,7.18,8.05,26.7
4,20,1997,29.26,12.87,9.15,26.38
4,21,1997,26.39,12.4,10.16,22.13
4,22,1997,20.15,10.24,7.77,23.78
4,23,1997,18.16,6.71,4.98,27.35
4,24,1997,11.74,8.31,5.94,2.57
4,25,1997,9.82,8.21,7.85,2.44
4,26,1997,11.74,8.85,8.92,4.07
4,27,1997,17.69,8.22,6.37,22.8
4,28,1997,20.84,5.01,4.82,27.73
4,29,1997,26,10.24,11.63,27.52
4,30,1997,21.06,9.62,6.91,24.21
5,1,1997,23.31,7.21,6.31,26.01
