Date,TMax,TMin,Prcp
1950-01-01,31.2093540,12.9753548,0.0455199
1950-01-02,23.8473538,0.7353544,0.0113800
1950-01-03,20.6613539,-11.7206457,0.0257946
1950-01-04,29.1753539,3.4533548,0.0000000
1950-01-05,21.1113539,-8.0486475,0.0000000
1950-01-06,32.2353540,3.5613539,0.0000000
1950-01-07,32.3073540,21.2373542,0.0568998
1950-01-08,32.7213539,16.5933535,0.1433876
1950-01-09,31.0833540,13.1733541,0.0037933
1950-01-10,32.3793540,24.0273537,0.0864878
1950-01-11,29.1393539,8.7453541,0.0113800
1950-01-12,25.0533540,4.5693546,0.0227599
1950-01-13,24.4593541,10.7433535,0.1923215
1950-01-14,25.8993540,11.6613539,0.0417266
1950-01-15,24.2613539,3.3453541,0.0151733
1950-01-16,30.8673540,4.2453541,0.7017648
1950-01-17,40.1913537,24.9813540,0.3224325
1950-01-18,43.4673540,32.1093540,0.0417266
1950-01-19,45.1413537,34.3773541,0.0789011
1950-01-20,48.5433535,34.3413539,0.0000000
1950-01-21,47.8053537,35.4933539,0.0037933
1950-01-22,45.0873542,33.4953540,0.0075866
1950-01-23,42.8373542,24.9993540,0.0834531
1950-01-24,30.8493540,13.1553537,0.0037933
1950-01-25,26.6733541,7.1253548,0.0000000
1950-01-26,31.7673540,4.6773537,0.0037933
1950-01-27,32.6493540,22.4073543,0.0257946
1950-01-28,31.4613540,6.5313532,0.0037933
1950-01-29,23.3793543,-7.7786448,0.0189666
1950-01-30,25.4313540,8.4933534,0.0568998
1950-01-31,19.2753539,-16.8866472,0.0000000
1950-02-01,21.9172503,-12.8947491,0.0000000
1950-02-02,19.7212507,-15.0367501,0.0000000
1950-02-03,32.3032505,-8.8807499,0.0184412
1950-02-04,41.4292506,29.4772504,0.0368825
1950-02-05,45.6232504,33.1132505,0.0553237
1950-02-06,41.7892502,30.0892505,0.0693390
1950-02-07,39.6112506,24.1672503,0.0000000
1950-02-08,43.7692501,25.6612506,0.0000000
1950-02-09,43.7332501,20.8552509,0.0036882
1950-02-10,40.9072507,28.7572507,0.1869941
1950-02-11,38.8012505,24.7792506,0.0000000
1950-02-12,43.7872505,18.8932506,0.0000000
1950-02-13,42.7792506,22.8532503,0.0000000
1950-02-14,52.8052509,24.3112502,0.0000000
1950-02-15,54.6952512,34.8232504,0.0000000
1950-02-16,46.8472501,37.6132504,0.0000000
1950-02-17,53.5972501,25.8412504,0.0000000
1950-02-18,61.6252502,25.8772504,0.0000000
1950-02-19,52.8052509,25.8052505,0.0000000
1950-02-20,43.7692501,25.7332505,0.0000000
1950-02-21,48.6832510,21.7552509,0.0000000
1950-02-22,49.8352499,22.8352507,0.0000000
1950-02-23,51.7432506,28.7752506,0.0000000
1950-02-24,56.7832510,33.7792505,0.0000000
1950-02-25,60.7252502,31.8352505,0.0000000
1950-02-26,58.4932506,31.8712505,0.0000000
1950-02-27,48.8092504,30.6832505,0.0000000
1950-02-28,59.6272508,22.9432506,0.0000000
1950-03-01,62.8479145,26.8299141,0.0000000
1950-03-02,58.6179138,29.0079141,0.0000000
1950-03-03,60.8319147,37.0179142,0.0000000
1950-03-04,61.8939132,26.0199140,0.0082846
1950-03-05,51.9759145,30.8439141,0.1325541
1950-03-06,42.8679138,17.9919143,0.0000000
1950-03-07,49.9419143,18.2619136,0.0000000
