Parameters for crop types --- Idaho Evapotranspiration Calculation						The Kc max was changed from 1.0 to 1.2 for use with a Eto reference.  However, these Kc max values are not used in program.																																																																																
85	Number of crop types					Five added Dec.2006 for irrig/rainfed on grains and sunflower/safflower																																																																																
This spreadsheet version is for Nevada.  Feb. 2008		Crop/Land Cover																																																																																				
Parameter	Explanation	Alfalfa Hay - (typical style)	Alfalfa Hay - frequent dairy style ~4 cuttings	Alfalfa Hay	Grass Hay	Snap and Dry Beans - fresh	Snap and Dry Beans - seed	Field Corn (moderate lengthed season)	Silage Corn (field corn but with truncated season)	Sweet Corn -- early	Sweet Corn -- late	Spring Grain - Irrigated	Spring Grain - Rainfed	Winter Grain - Irrigated	Winter Grain - Rainfed	Grass Pasture (High Management)	Grass Pasture (Low Management)	Turfgrass (lawns) - Irrig.	Turfgrass (lawns) - Rainfed	Orchards - Apples and Cherries w/ground cover	Orchards - Apples and Cherries no ground cover	Garden Vegetables (general)	Carrots	Onions	Melons	Grapes--wine	Alfalfa Seed	Peas--fresh	Peas--seed	Potatoes - processing (early harvest)	Potatoes - baking (late harvest)	Sugar beets	Hops	Mint	Poplar (third year and older)	Lentils	Sunflower - Irrigated	Sunflower - Rainfed	Safflower - Irrigated	Safflower - Rainfed	Canola	Mustard	BlueGrass Seed	Garlic	Bare soil	Mulched soil / wheat stubble	Dormant turf/sod (winter time)	Range Grasses- early short season (cheat etc.)	Range Grasses- long season (bunch - wheatgrass, etc.)	Range Grasses - brome grass	Sagebrush	Wetlands--large stands	Wetlands--narrow stands	Cottonwoods	Willows	Open water - Shallow	Open water - Deep	Open water - Stock	Cotton	Peppers	Sorghum	Olives	Strawberries	Blueberries	Raspberries	Rice	Soybeans	Peanuts	Millet	Tomatoes	Oranges	Lettuce (Single Crop)	Lettuce First Planting	Lettuce Second Planting	Nuts	Cranberries	Sugarcane	Field Corn After Another Crop	Sorghum After Another Crop	Cotton After Another Crop	Cabbage	Sudan	Christmas Trees	Melons After Another Crop	Grain After Another Crop	Soybeans After Another Crop
Crop number and flag for crop type	Negative is annual; Positive is perennial	1	2	3	4	-5	-6	-7	-8	-9	-10	-11	-12	-13	-14	15	16	17	18	19	20	-21	-22	-23	-24	25	26	-27	-28	-29	-30	-31	32	33	34	-35	-36	-37	-38	-39	40	-41	42	-43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	-58	-59	-60	61	-62	63	64	-65	-66	-67	-68	-69	70	-71	-72	-73	74	75	-76	-77	-78	-79	-80	-81	82	-83	-84	-85
Irrigation Flag	1 yes, 2 reg., 3 required	1	1	1	1	1	1	1	1	1	1	3		3		2	2	3		1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1		1		1					1															1	1	1	1	1	1	1	3	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Days after planting/green up for earliest irrigation	days	0	0	0	0	0	0	0	0	0	0	20	20	155	155	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fw	assume sprinkler	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
winter surface cover class	1 bare, 2 mulch, 3 sod	2	1	1	3	1	1	2	2	2	2	2	2	2	2	3	3	3	3	2	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	2	2	2	2	3	2	1	2	3	2	2	2	2	2	2	2	2				1	1	1	1	2	1	1	2	2	1	2	1	1	1	1	1	1	1	1	2	2	2	1	2	1	2	2	2
Kc max	max of value or Kcb+.05	1.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.2	1.2	1	1	1.2	1.2	1.2	1	1	1	1.2	1.2	1	1	1	1	1	1	1	1	1	1.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2
MAD during initial and development stage	  percent.	60	60	60	50	60	60	70	70	60	60	60	60	60	60	60	60	65	65	50	50	60	60	60	60	70	70	65	65	50	50	60	50	50	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	50	50	50	50	60	60	60	60	60	50	60	60	60	50	50	60	65	65	65	60	60	50	60	60	60
MAD during midseason and lateseason		60	60	60	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	70	70	50	50	40	40	50	50	50	50	50	60	60	60	60	60	60	50	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	50	60	50	50	50	50	50	50	50	50	50	40	50	40	40	40	50	50	50	50	50	50	40	60	50	50	50	50
Initial rooting depth, m	On alfalfa, 2nd cycle, start at max.	0.7	0.7	0.7	0.3	0.12	0.12	0.12	0.12	0.12	0.12	0.25	0.25	0.25	0.25	0.3	0.3	0.3	0.3	1.5	1.5	0.12	0.12	0.25	0.2	1	0.7	0.2	0.2	0.3	0.3	0.15	1	0.5	1.5	0.15	0.2	0.2	0.2	0.2	0.2	0.2	0.3	1	0.08	0.08	0.08	0.3	0.6	0.6	3	1	1	2	2	0	0	0	0.25	0.25	0.25	1.5	0.25	0.7	0.7	0.25	0.25	0.25	0.25	0.3	1.5	0.25	0.25	0.25	1.5	0.7	0.25	0.25	0.25	0.25	0.25	0.7	1.3	0.2	0.25	0.25
Maximum rooting depth, m	mrd	1.8	1.8	1.8	1.1	1.2	1.2	1.5	1.5	1	1	1.8	1.8	1.8	1.8	1	1	0.6	0.6	1.5	1.5	0.6	0.6	0.8	1.2	2	1.5	1	1	0.8	0.8	1.3	1.5	1.3	1.5	0.9	2.5	2.5	2.5	2.5	1.6	1.4	1	1	0.08	0.08	0.08	0.6	1.8	1.2	3	2	2	2	2	0	0	0	0.9	0.6	1.2	1.5	1	1.2	1.2	1.2	1.2	1.2	1.8	0.8	1.5	0.6	0.6	0.6	1.5	1.2	1	1.5	1.2	0.9	0.6	1.8	1.3	1.2	1.2	1.2
