ET Cell ID	ET Cell Name	Ref ET MET ID	Met Latitude	Met Longitude	Met Elevation (feet)	Area weighted average Permeability - in/hr	Area weighted average WHC - in/ft	Average soil depth - in	Hydrologic Group (A-C) (A='coarse'  B='medium')	Hydrologic Group  (1-3) (1='coarse' 2='medium')	Aridity Rating (fromHuntington plus google)	Ref ET Data Path
369042	GRIDMET_ID 369042	369042	  36.1457	-109.5231	5696.85	-999	0.8084	60	A	1	50	
387089	GRIDMET_ID 387089	387089	  36.6874	-108.3148	5607.22	-999	1.3397	60	A	1	50	
409259	GRIDMET_ID 409259	409259	  37.3540	-108.5648	6148.82	-999	2.0072	60	B	2	50	
414799	GRIDMET_ID 414799	414799	  37.5206	-108.7315	6868.50	-999	1.9364	60	B	2	50	
423046	GRIDMET_ID 423046	423046	  37.7706	-111.6063	5908.40	-999	1.6425	60	A	1	50	
425873	GRIDMET_ID 425873	425873	  37.8540	-109.3148	6882.02	-999	1.8818	60	B	2	50	
435613	GRIDMET_ID 435613	435613	  38.1456	-107.7315	7211.81	-999	1.6753	60	B	2	50	
446698	GRIDMET_ID 446698	446698	  38.4789	-107.8565	5859.45	-999	1.8905	60	B	2	50	
459178	GRIDMET_ID 459178	459178	  38.8539	-107.6065	5746.46	-999	1.4400	60	B	2	50	
467471	GRIDMET_ID 467471	467471	  39.1039	-108.5648	4673.49	-999	1.9148	60	B	2	50	
481349	GRIDMET_ID 481349	481349	  39.5205	-107.8149	5486.61	-999	1.5600	60	B	2	50	
482664	GRIDMET_ID 482664	482664	  39.5622	-110.7730	5492.91	-999	1.8000	60	B	2	50	
482738	GRIDMET_ID 482738	482738	  39.5622	-107.6899	5663.91	-999	1.5600	60	B	2	50	
485529	GRIDMET_ID 485529	485529	  39.6455	-106.8982	6675.85	-999	1.4486	60	A	1	50	
502161	GRIDMET_ID 502161	502161	  40.1455	-106.8982	8033.46	-999	1.6313	60	B	2	50	
503471	GRIDMET_ID 503471	503471	  40.1871	-110.0647	5094.09	-999	1.4400	60	B	2	50	
506248	GRIDMET_ID 506248	506248	  40.2705	-109.8564	5005.51	-999	1.5675	60	A	1	50	
510396	GRIDMET_ID 510396	510396	  40.3955	-110.2730	6586.35	-999	1.4343	60	A	1	50	
511800	GRIDMET_ID 511800	511800	  40.4371	-109.5231	5318.37	-999	1.6800	60	B	2	50	
529813	GRIDMET_ID 529813	529813	  40.9788	-109.7314	6497.64	-999	0.9553	60	A	1	50	
531248	GRIDMET_ID 531248	531248	  41.0204	-107.6899	6243.18	-999	1.6877	60	B	2	50	
540887	GRIDMET_ID 540887	540887	  41.3121	-110.3147	6702.76	-999	1.0170	60	A	1	50	
551981	GRIDMET_ID 551981	551981	  41.6454	-110.0647	6410.50	-999	1.1300	60	B	2	50	
568628	GRIDMET_ID 568628	568628	  42.1454	-109.4398	6634.38	-999	1.1666	60	B	2	50	
588018	GRIDMET_ID 588018	588018	  42.7287	-110.0231	7039.11	-999	1.1123	60	B	2	50	
592180	GRIDMET_ID 592180	592180	  42.8537	-109.8564	7192.39	-999	0.7862	60	A	1	50	
